# ------------------------------------------------------------------------------
# Table des genres de documents.
#
# 2014-07-17 Version initiale au format table.
#            Basée sur les tables qu'on avait avant (tables spécifiques par
#            type) et sur les valeurs trouvées dans les abses Prisme/Afertes.
#            cf. https://github.com/daniel-menard/prisme/issues/93
# 2014-10-16 Ajout des entrées leaving-certificate, licence, master et 
#            doctorate (https://github.com/daniel-menard/prisme/issues/202)
# 2014-12-11 Ajout de HDR et ajout d'un "voir aussi" vers hdr pour thesis, 
#            mémoire et professional-practices. 
#            (https://github.com/daniel-menard/prisme/issues/219)
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
national-newspaper;Presse nationale;;;;international-newspaper¤local-newspaper¤regionalnewspaper;Périodique qui traite de l'actualité nationale.;periodical;
regionalnewspaper;Presse régionale;;;;international-newspaper¤local-newspaper¤national-newspaper;Périodique qui traite de l'actualité régionale.;periodical;
journal;Revue;;;;literary-magazine¤academic-journal;Périodique spécialisé dans un domaine précis.;periodical;
literary-magazine;Revue littéraire;;;;;Publication périodique spécifique au champ littéraire (littérature, poésie, critique littéraire, …);periodical;
academic-journal;Revue scientifique;;;;;Publication périodique, souvent dotée d'un comité de lecture, dont l'objectif est de faire connaître des travaux de recherche originaux ou de fond, et de contribuer au débat scientifique entre spécialistes;periodical;
# ------------------------------------------------------------------------------
# Rapports, comptes-rendus, enquêtes, etc.
# ------------------------------------------------------------------------------
report;Rapport;;;;minutes¤activity-report¤official-report¤termination-report¤financial-report¤moral-report;Exposé rendant compte d'un travail fait par une personne, un comité, ou une commission.;book,meeting;
activity-report;Rapport d'activité;;;;minutes;Rapport faisant le constat d'une situation et relatant ce qui a été fait au cours d'une période donnée.;book,meeting;
official-report;Rapport officiel;;;;termination-report;Rapport élaboré par ou à l'initiative d'un gouvernement ou d'une instance gouvernementale.;book,report;
termination-report;Rapport de fin de contrat;;;;report¤minutes¤activity-report¤official-report¤financial-report¤moral-report;Bilan réalisé à la fin d'un contrat établi entre des organismes ou des personnes.;Report;
financial-report;Rapport financier;;;;report¤minutes¤activity-report¤official-report¤termination-report¤moral-report;Document comptable fournissant une information financière détaillée (recettes, dépenses, actif, passif).;Report;
moral-report;Rapport moral;;;;report¤minutes¤activity-report¤official-report¤termination-report¤financial-report;Document synthétique présentant l'état d'une personne morale (une association, par exemple) à un moment donné : bilan des objectifs passés, difficultés rencontrées, orientations futures, partenariats, ...;Report;
survey;Enquête;;;;survey-results;Étude d'une question faite en réunissant des témoignages et des expériences.;article,book;
survey-results;Résultats d'enquête;;;;survey;Synthèse des éléments clés obtenus au cours d'une enquête.;Report;
minutes;Compte rendu;;;;;Rapport fait sur un événement, une situation, un ouvrage, la séance d'une assemblée, etc.;book,meeting,video;
working-draft;Document de travail;;;;;Type particulier de rapport technique sur un travail en cours constituant éventuellement la forme préliminaire d'un ouvrage à venir.;book;
annals;Annales;;;;;Ouvrage qui rapporte des événements en suivant l'ordre chronologique.;book;
# ------------------------------------------------------------------------------
# Ce qu'on trouve sur Internet
# ------------------------------------------------------------------------------
web-application;Application web;;;;;Site web offrant les fonctionnalités habituellement présentes dans un logiciel.;website;
blog;Blog;;;;;Site web, souvent personnel, présentant en ordre chronologique inverse de courts articles ou notes, généralement accompagnés de liens vers d'autres sites.;website;
online-catalog;Catalogue en ligne;;;;;Site web proposant une compilation de données, présentées sous forme de fiches, établie pour répondre à des besoins particuliers (annuaire, base de données, liste de produits...);website;
extranet;Extranet;;;;;Site intranet qui a été étendu pour permettre l'accès depuis ou vers certains organismes externes, mais non pour le public en général.;website;
personal-website;Page perso;;;;;Site web rédigé, conçu, et mis en ligne par une personne en particulier.;website;
blogging-platform;Plateforme de blogs;;;;;Site web proposant à ses utilisateurs la création automatique d'un blog et son hébergement.;website;
web-portal;Portail d'entreprise;;;;;Site web, le plus souvent en intranet ou en extranet, donnant accès, via une interface unique, à des données de l'entreprise ainsi qu'à des ressources du système d'information de l'entreprise.;website;
social-networking-website;Réseau social;;;;;Site web qui favorise l'interaction sociale, la création et le partage d'information entre des internautes reliés entre eux en fonction de leurs intérêts, points de vue ou besoins communs.;website;
community-website;Site communautaire;;;;;Site web permettant à des internautes de produire des articles et d'échanger sur des centres d'intérêt communs.;website;
brand-website;Site de marque;;;;;Site web axé autour d'une ou plusieurs marques commerciales et offrant des informations sur les produits et services proposés par une entreprise.;website;
video-sharing-website;Site de partage de vidéos;;;;;Site web permettant à ses utilisateurs de stocker des films et des vidéos, de les diffuser et de les partager avec d'autres utilisateurs.;website;
photo-sharing-website;Site de partage d'images;;;;;Site web permettant à ses utilisateurs de stocker des images et des photographies, de les publier et de les partager avec d'autres utilisateurs.;website;
web-presence;Site de présence;;;;;Site web de présentation minimal (carte de visite sur internet).;website;
event-website;Site événementiel;;;;;Site web ou mini-site créé à l'occasion d'un événement passé ou à venir.;website;
corporate-website;Site institutionnel;;;;;Site web dont le but principal est de promouvoir l'image d'une entreprise, d'une marque ou d'une organisation auprès du grand public, des médias, des clients potentiels, des fournisseurs, des actionnaires ou de tout autre partenaire potentiel.;website;
online-shop;Site marchand;;;;;Site web dont l'activité principale est le commerce en ligne (e-commerce).;website;
showcase-website;Site vitrine;;;;;Site web proposant des informations sur une entreprise, les produits et les services proposés (c'est en quelque sorte une plaquette commerciale sur internet).;website;
