# ------------------------------------------------------------------------------
# Table des supports de documents
#
# Correspond à la liste 150 de Onix for Books 
# avec en plus la liste  7S de Onix for Serials 
#
#
# 2013-11-02 Version initiale au format table, basée sur list 7 de Onix Books.
# 2014-03-31 Révision complète. 
#            Passage à la liste 150 de Onix Books (rev 24) 
#            + liste 7S de Onix Serials (rev 6)
#            Mise au format thesaurus 
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
PR;Carnet / cahier blanc;;;PA;;Livre dont toutes les pages sont blanches et qui seront remplies par son acquéreur : possibilité d’utiliser les codes du <ProductFormDetail> P201 à P204 pour spécifier la reliure.;;
PS;Organiseur;;;PA;;Possibilité d’utiliser les codes du <ProductFormDetail> P201 à P204 pour spécifier la reliure.;;
PT;Marque-page;;;PA;;;;
PZ;Autre élément imprimé;;;PA;;Autre élément imprimé non spécifié par les codes PB à PT.;;
# ------------------------------------------------------------------------------
# S - Sets : ensembles, documents composites
# ------------------------------------------------------------------------------
SA;Produit proposé à la vente en plusieurs articles;;;;;Présentation non spécifiée : le format des éléments du produit doit être fourni dans <ProductPart>.;;
SB;Produit proposé à la vente en plusieurs articles, sous coffret;;;SA;;Le format des éléments du produit doit être fourni dans <ProductPart>.;;
SC;Produit proposé à la vente en plusieurs articles, sous étui;;;SA;;Le format des éléments du produit doit être fourni dans <ProductPart>.;;
SD;"Produit proposé à la vente en plusieurs articles ; sous film plastique";;;SA;XL;Le format des éléments du produit doit être fourni dans <ProductPart>. Utiliser le code XL pour un emballage sous film plastique destiné au commerce, et où les éléments contenus seront vendus séparément.;;
SE;Produit proposé à la vente en plusieurs articles, en vrac;;;SA;;Le format des éléments du produit doit être fourni dans <ProductPart>.;;
SF;Produit proposé à la vente en plusieurs articles, composant(s) contenus;;;SA;;Produit à plusieurs articles dont les composants sont fournis sous forme d’éléments contenus du composant principal : par exemple, un livre avec un CD emballé sous jaquette à l’intérieur du dos de la couverture. Le format des éléments du produit doit être fourni dans <ProductPart>.;;
# ------------------------------------------------------------------------------
# V - Vidéo
# ------------------------------------------------------------------------------
VA;Vidéo;;;;;Vidéo – sans informations détaillées.;;
VF;Disque vidéo;;;VA;;Disque laser, par exemple.;;
VI;DVD vidéo;;;VA;;DVD vidéo : spécifier le standard TV dans la Liste 78.;;
VJ;Vidéo VHS;;;VA;;Cassette vidéo VHS : spécifier le standard TV dans la Liste 78.;;
VK;Vidéo Betamax;;;VA;;Cassette vidéo Betamax : spécifier le standard TV dans la Liste 78.;;
VL;VCD;;;VA;;CD vidéo.;;
VM;SVCD;;;VA;;Super CD vidéo.;;
VN;HD DVD;;;VA;;DVD haute définition, format HD DVD Toshiba.;;
